#,Name,G,PA,HR,R,RBI,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
1,Mookie Betts,136,614,32,129,80,30,13.2,14.8,0.294,0.368,0.346,0.438,0.64,0.449,185,6.9,69.1,11.6,10.4
2,J.D. Martinez,150,649,43,111,130,6,0.106,0.225,0.299,0.375,0.33,0.402,0.629,0.427,170,-4.1,50.2,-14.7,5.9
3,Xander Bogaerts,136,580,23,72,103,8,0.095,0.176,0.234,0.317,0.288,0.36,0.522,0.373,133,-1.7,21,7.2,4.9
4,Andrew Benintendi,148,661,16,103,87,21,0.107,0.16,0.174,0.328,0.29,0.366,0.465,0.357,122,4.3,21.9,-1.5,4.3
5,Jackie Bradley Jr.,144,535,13,76,59,17,0.086,0.256,0.169,0.299,0.234,0.314,0.403,0.31,90,5.7,-0.6,10.1,2.8
6,Brock Holt,109,367,7,41,46,7,0.101,0.199,0.134,0.337,0.277,0.362,0.411,0.338,109,-4.8,-0.7,2.3,1.4
7,Steve Pearce,50,165,7,19,26,0,0.133,0.164,0.228,0.298,0.279,0.394,0.507,0.387,143,1.2,9.6,-3,1.2
8,Rafael Devers,121,490,21,59,66,5,0.078,0.247,0.193,0.281,0.24,0.298,0.433,0.31,90,2.2,-3.7,-3,1
9,Mitch Moreland,124,459,15,57,68,2,0.109,0.222,0.188,0.288,0.245,0.325,0.433,0.325,100,-4.1,-3.8,-5.1,0.6
10,Rick Porcello,33,7,0,1,3,0,0,0.429,0.286,0.75,0.429,0.429,0.714,0.482,207,0,0.9,0.8,0.2
11,Ian Kinsler,37,143,1,17,16,7,0.07,0.168,0.068,0.287,0.242,0.294,0.311,0.269,62,1.5,-5.1,0.8,0
12,Tzu-Wei Lin,37,73,1,15,6,0,0.11,0.233,0.169,0.319,0.246,0.329,0.415,0.324,99,-0.4,-0.5,-1.6,0
13,Brian Johnson,38,4,0,1,0,0,0,0.25,0,0.333,0.25,0.25,0.25,0.22,28,0,-0.3,0.5,0
14,Nathan Eovaldi,12,3,0,1,0,0,0.333,0.667,0,0,0,0.333,0,0.23,35,0,-0.2,0.4,0
